id,domain_code,domain,name,definition,source_basis,registry_status,maturity,source_keys,notes
AXM-00-FOUNDATION-A-001-identifier,00-foundation,Universal foundation and metadata,identifier,"Smallest independently addressable identifier unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-002-namespace,00-foundation,Universal foundation and metadata,namespace,"Smallest independently addressable namespace unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-003-name,00-foundation,Universal foundation and metadata,name,"Smallest independently addressable name unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-004-label,00-foundation,Universal foundation and metadata,label,"Smallest independently addressable label unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-005-description,00-foundation,Universal foundation and metadata,description,"Smallest independently addressable description unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-006-type-tag,00-foundation,Universal foundation and metadata,type tag,"Smallest independently addressable type tag unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-007-subtype-tag,00-foundation,Universal foundation and metadata,subtype tag,"Smallest independently addressable subtype tag unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-008-version,00-foundation,Universal foundation and metadata,version,"Smallest independently addressable version unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-009-revision,00-foundation,Universal foundation and metadata,revision,"Smallest independently addressable revision unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-010-status,00-foundation,Universal foundation and metadata,status,"Smallest independently addressable status unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-011-flag,00-foundation,Universal foundation and metadata,flag,"Smallest independently addressable flag unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-012-scalar,00-foundation,Universal foundation and metadata,scalar,"Smallest independently addressable scalar unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-013-boolean,00-foundation,Universal foundation and metadata,boolean,"Smallest independently addressable boolean unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-014-integer,00-foundation,Universal foundation and metadata,integer,"Smallest independently addressable integer unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-015-floating-point-number,00-foundation,Universal foundation and metadata,floating-point number,"Smallest independently addressable floating-point number unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-016-decimal-number,00-foundation,Universal foundation and metadata,decimal number,"Smallest independently addressable decimal number unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-017-string,00-foundation,Universal foundation and metadata,string,"Smallest independently addressable string unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-018-byte-sequence,00-foundation,Universal foundation and metadata,byte sequence,"Smallest independently addressable byte sequence unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
