id,level,domain_code,domain,name,definition,source_keys,source_basis,registry_status,maturity,extension_allowed,notes
AXM-00-FOUNDATION-A-001-identifier,atom,00-foundation,Universal foundation and metadata,identifier,"Smallest independently addressable identifier unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-002-namespace,atom,00-foundation,Universal foundation and metadata,namespace,"Smallest independently addressable namespace unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-003-name,atom,00-foundation,Universal foundation and metadata,name,"Smallest independently addressable name unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-004-label,atom,00-foundation,Universal foundation and metadata,label,"Smallest independently addressable label unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-005-description,atom,00-foundation,Universal foundation and metadata,description,"Smallest independently addressable description unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-006-type-tag,atom,00-foundation,Universal foundation and metadata,type tag,"Smallest independently addressable type tag unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-007-subtype-tag,atom,00-foundation,Universal foundation and metadata,subtype tag,"Smallest independently addressable subtype tag unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-008-version,atom,00-foundation,Universal foundation and metadata,version,"Smallest independently addressable version unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-009-revision,atom,00-foundation,Universal foundation and metadata,revision,"Smallest independently addressable revision unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-010-status,atom,00-foundation,Universal foundation and metadata,status,"Smallest independently addressable status unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
